Participant,Response_01,Response_02,Response_03,Response_04,Response_05,Response_06,Response_07,Response_08,Response_09,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Response_16,Response_17,Response_18,Response_19,Response_20,Response_21,Response_22,Response_23,Response_24,Response_25
1,snake,dog,cat,fish,rabbit,giraffe,tiger,leopard,tortoise,turtle,lion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,elephant,tiger,leopard,cheetah,kangaroo,lion,giraffe,penguin,cat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,elephant,tiger,lion,cat,dog,alligator,crocodile,tuna,clownfish,tyrannosaurus rex,spinosaurus,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,tiger,lion,zebra,elephant,hyena,cheetah,leopard,dog,cat,mouse,giraffe,polar bear,seal,penguin,gorilla,monkey,hippopotamus,whale,dolphin,hammerhead shark,buffalo,bull,deer,NA,NA
13,dog,tiger,hamster,guinea pig,cat,rat,mouse,lion,deer,eagle,jaguar,leopard,pig,horse,cow,sheep,macaw,parrot,squirrel,bull,,,,,
14,panda,tiger,dog,cat,koala,kangaroo,lion,penguin,hedgehog,badger,owl,eagle,falcon,frog,bear,monkey,crocodile,fish,NA,NA,NA,NA,NA,NA,NA
17,crocodile,cat,dog,monkey,parrot,rat,lizard,lion,tiger,beaver,rhinoceros,bat,slug,frog,toad,snail,worm,crab,shark,piranha,,NA,NA,NA,NA
18,gorilla,monkey,tiger,fish,dog,cat,elephant,chimpanzee,crocodile,quail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,dog,cat,fish,tiger,lion,polar bear,lemur,meerkat,turtle,shark,dolphin,parrot,owl,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,dog,cat,hamster,guinea pig,tiger,lion,camel,lizard,giraffe,elephant,monkey,ape,parrot,crocodile,tarantula,ladybug,snake,frog,,,NA,NA,NA,NA,NA
23,cat,parrot,elephant,giraffe,crocodile,hyena,leopard,snow leopard,cheetah,labrador,owl,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,dog,cat,antelope,tiger,lion,leopard,cheetah,dingo,shark,whale,seal,dolphin,tortoise,turtle,monkey,spider,stick insect,praying mantis,orca,penguin,polar bear,NA,NA,NA,NA
26,dog,cat,fish,hamster,gerbil,chinchilla,pig,horse,sheep,cow,chicken,duck,dolphin,turtle,shark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,dog,tiger,monkey,lion,cat,rabbit,snake,lizard,leopard,cheetah,elephant,bear,spider,kingfisher,crow,robin,eagle,seagull,NA,NA,NA,NA,NA,NA,NA
33,snake,lion,tiger,dog,cat,rabbit,guinea pig,mouse,rat,tarantula,sheep,cow,fox,wild boar,snow leopard,black rhinoceros,Beluga whale,humpback whale,tiger shark,orca,,,NA,NA,NA
35,dog,tiger,cat,elephant,giraffe,rhinoceros,ostrich,monkey,rat,mouse,pig,horse,pony,cow,sheep,lizard,ant,spider,fish,rabbit,guinea pig,lion,,NA,NA
39,dog,cat,snake,lizard,tiger,ostrich,elephant,monkey,gorilla,squirrel,hedgehog,rabbit,magpie,rhinoceros,giraffe,gecko,octopus,shark,fish,squid,NA,NA,NA,NA,NA
40,dog,cat,tiger,lion,chameleon,rabbit,snake,koala,lizard,piranha,zebra,camel,giraffe,ostrich,antelope,bear,warthog,hare,NA,NA,NA,NA,NA,NA,NA
43,rabbit,cat,dog,jaguar,gorilla,cheetah,lion,tiger,giraffe,zebra,fox,snake,sea lion,cobra,turtle,worm,ant,slug,snail,grasshopper,NA,NA,NA,NA,NA
49,rabbit,cat,dog,hamster,donkey,horse,leopard,lion,tiger,zebra,giraffe,bird,foal,monkey,baboon,chimpanzee,gorilla,chicken,,,,NA,NA,NA,NA
51,cat,sheep,horse,goldfish,hen,chicken,duck,piglet,goose,spider,worm,slug,snail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,dog,tiger,lion,monkey,pig,crocodile,bird,fish,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,tarantula,reindeer,hippopotamus,deer,leopard,lion,cheetah,elephant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,beaver,dog,tiger,cat,zebra,elephant,monkey,parrot,kangaroo,koala,piranha,seal,dolphin,whale,penguin,polar bear,camel,horse,bull,cow,duck,pig,,NA,NA
59,cat,horse,pony,sheep,cow,deer,pig,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
