participant_id,word,order,cluster_id,category
1,snake,1,1,farm
1,dog,2,2,pets
1,cat,3,2,pets
1,fish,4,3,fish
1,rabbit,5,4,pets
1,giraffe,6,5,african
1,tiger,7,5,african
1,leopard,8,5,african
1,tortoise,9,6,reptileamphibian
1,turtle,10,6,reptileamphibian
1,lion,11,7,african
4,elephant,1,1,african
4,tiger,2,1,african
4,leopard,3,1,african
4,cheetah,4,1,african
4,kangaroo,5,2,australian
4,lion,6,3,african
4,giraffe,7,3,african
4,penguin,8,4,arctic
4,cat,9,5,pets
6,elephant,1,1,african
6,tiger,2,1,african
6,lion,3,1,african
6,cat,4,2,pets
6,dog,5,2,pets
6,alligator,6,3,reptileamphibian
6,crocodile,7,3,reptileamphibian
6,tuna,8,4,fish
6,clownfish,9,4,fish
6,tyrannosaurusrex,10,5,reptileamphibian
6,spinosaurus,11,5,dinosaur
7,tiger,1,1,african
7,lion,2,1,african
7,zebra,3,1,african
7,elephant,4,1,african
7,hyena,5,1,african
7,cheetah,6,1,african
7,leopard,7,1,african
7,dog,8,2,pets
7,cat,9,2,pets
7,mouse,10,3,bird
7,giraffe,11,4,african
7,polarbear,12,5,arctic
7,seal,13,5,arctic
7,penguin,14,5,arctic
7,gorilla,15,6,african
7,monkey,16,6,african
7,hippopotamus,17,6,african
7,whale,18,7,fish
7,dolphin,19,7,water
7,hammerheadshark,20,7,fish
7,buffalo,21,8,african
7,bull,22,9,feline
7,deer,23,10,northamerican
13,dog,1,1,pets
13,tiger,2,2,african
13,hamster,3,3,pets
13,guineapig,4,3,pets
13,cat,5,3,pets
13,rat,6,4,rodents
13,mouse,7,4,bird
13,lion,8,5,african
13,deer,9,6,northamerican
13,eagle,10,7,bird
13,jaguar,11,8,feline
13,leopard,12,8,african
13,pig,13,9,farm
13,horse,14,9,farm
13,cow,15,9,farm
13,sheep,16,9,farm
13,macaw,17,10,bird
13,parrot,18,10,pets
13,squirrel,19,11,northamerican
13,bull,20,12,feline
14,panda,1,1,asian
14,tiger,2,2,african
14,dog,3,3,pets
14,cat,4,3,pets
14,koala,5,4,australian
14,kangaroo,6,4,australian
14,lion,7,5,african
14,penguin,8,6,arctic
14,hedgehog,9,7,insectivores
14,badger,10,8,weasels
14,owl,11,9,bird
14,eagle,12,9,bird
14,falcon,13,9,bird
14,frog,14,10,reptileamphibian
14,bear,15,11,northamerican
14,monkey,16,12,african
14,crocodile,17,13,reptileamphibian
14,fish,18,14,fish
17,crocodile,1,1,reptileamphibian
17,cat,2,2,pets
17,dog,3,2,pets
17,monkey,4,3,african
17,parrot,5,4,pets
17,rat,6,5,rodents
17,lizard,7,6,reptileamphibian
17,lion,8,7,african
17,tiger,9,7,african
17,beaver,10,8,northamerican
17,rhinoceros,11,9,african
17,bat,12,10,insectivores
17,slug,13,11,water
17,frog,14,11,reptileamphibian
17,toad,15,11,reptileamphibian
17,snail,16,11,water
17,worm,17,12,insects
17,crab,18,13,water
17,shark,19,13,fish
17,piranha,20,13,fish
18,gorilla,1,1,african
18,monkey,2,1,african
18,tiger,3,1,african
18,fish,4,2,fish
18,dog,5,3,pets
18,cat,6,3,pets
18,elephant,7,4,african
18,chimpanzee,8,4,african
18,crocodile,9,5,reptileamphibian
18,quail,10,6,bird
20,dog,1,1,pets
20,cat,2,1,pets
20,fish,3,2,fish
20,tiger,4,3,african
20,lion,5,3,african
20,polarbear,6,4,arctic
20,lemur,7,5,african
20,meerkat,8,5,african
20,turtle,9,6,reptileamphibian
20,shark,10,6,fish
20,dolphin,11,6,water
20,parrot,12,7,pets
20,owl,13,7,bird
21,dog,1,1,pets
21,cat,2,1,pets
21,hamster,3,1,pets
21,guineapig,4,1,pets
21,tiger,5,2,african
21,lion,6,2,african
21,camel,7,2,african
21,lizard,8,3,reptileamphibian
21,giraffe,9,4,african
21,elephant,10,4,african
21,monkey,11,4,african
21,ape,12,4,primates
21,parrot,13,5,pets
21,crocodile,14,6,reptileamphibian
21,tarantula,15,7,insects
21,ladybug,16,7,insects
21,snake,17,8,farm
21,frog,18,8,reptileamphibian
23,cat,1,1,pets
23,parrot,2,1,pets
23,elephant,3,2,african
23,giraffe,4,2,african
23,crocodile,5,3,reptileamphibian
23,hyena,6,4,african
23,leopard,7,4,african
23,snowleopard,8,4,feline
23,cheetah,9,4,african
23,labrador,10,5,pets
23,owl,11,6,bird
25,dog,1,1,pets
25,cat,2,1,pets
25,antelope,3,2,african
25,tiger,4,2,african
25,lion,5,2,african
25,leopard,6,2,african
25,cheetah,7,2,african
25,dingo,8,3,australian
25,shark,9,4,fish
25,whale,10,4,fish
25,seal,11,4,arctic
25,dolphin,12,4,water
25,tortoise,13,5,reptileamphibian
25,turtle,14,5,reptileamphibian
25,monkey,15,6,african
25,spider,16,7,farm
25,stickinsect,17,8,insects
25,prayingmantis,18,8,insects
25,orca,19,9,water
25,penguin,20,9,arctic
25,polarbear,21,9,arctic
26,dog,1,1,pets
26,cat,2,1,pets
26,fish,3,2,fish
26,hamster,4,3,pets
26,gerbil,5,3,pets
26,chinchilla,6,3,usedforfur
26,pig,7,4,farm
26,horse,8,4,farm
26,sheep,9,4,farm
26,cow,10,4,farm
26,chicken,11,4,farm
26,duck,12,4,bird
26,dolphin,13,5,water
26,turtle,14,5,reptileamphibian
26,shark,15,5,fish
31,dog,1,1,pets
31,tiger,2,2,african
31,monkey,3,2,african
31,lion,4,2,african
31,cat,5,3,pets
31,rabbit,6,3,pets
31,snake,7,4,farm
31,lizard,8,4,reptileamphibian
31,leopard,9,5,african
31,cheetah,10,5,african
31,elephant,11,5,african
31,bear,12,6,northamerican
31,spider,13,7,farm
31,kingfisher,14,8,bird
31,crow,15,8,bird
31,robin,16,8,bird
31,eagle,17,8,bird
31,seagull,18,8,bird
33,snake,1,1,farm
33,lion,2,2,african
33,tiger,3,2,african
33,dog,4,3,pets
33,cat,5,3,pets
33,rabbit,6,3,pets
33,guineapig,7,3,pets
33,mouse,8,3,bird
33,rat,9,3,rodents
33,tarantula,10,4,insects
33,sheep,11,5,farm
33,cow,12,5,farm
33,fox,13,6,northamerican
33,wildboar,14,6,northamerican
33,snowleopard,15,7,feline
33,blackrhinoceros,16,8,african
33,belugawhale,17,9,water
33,humpbackwhale,18,9,water
33,tigershark,19,9,fish
33,orca,20,9,water
35,dog,1,1,pets
35,tiger,2,2,african
35,cat,3,3,pets
35,elephant,4,4,african
35,giraffe,5,4,african
35,rhinoceros,6,4,african
35,ostrich,7,4,african
35,monkey,8,4,african
35,rat,9,5,rodents
35,mouse,10,5,bird
35,pig,11,6,farm
35,horse,12,6,farm
35,pony,13,6,farm
35,cow,14,6,farm
35,sheep,15,6,farm
35,lizard,16,7,reptileamphibian
35,ant,17,8,insects
35,spider,18,9,farm
35,fish,19,10,fish
35,rabbit,20,11,pets
35,guineapig,21,11,pets
35,lion,22,12,african
39,dog,1,1,pets
39,cat,2,1,pets
39,snake,3,2,farm
39,lizard,4,2,reptileamphibian
39,tiger,5,3,african
39,ostrich,6,3,african
39,elephant,7,3,african
39,monkey,8,3,african
39,gorilla,9,3,african
39,squirrel,10,4,northamerican
39,hedgehog,11,4,insectivores
39,rabbit,12,5,pets
39,magpie,13,6,bird
39,rhinoceros,14,7,african
39,giraffe,15,7,african
39,gecko,16,8,reptileamphibian
39,octopus,17,9,water
39,shark,18,9,fish
39,fish,19,9,fish
39,squid,20,9,water
40,dog,1,1,pets
40,cat,2,1,pets
40,tiger,3,2,african
40,lion,4,2,african
40,chameleon,5,2,african
40,rabbit,6,3,pets
40,snake,7,4,farm
40,koala,8,5,australian
40,lizard,9,6,reptileamphibian
40,piranha,10,7,fish
40,zebra,11,8,african
40,camel,12,8,african
40,giraffe,13,8,african
40,ostrich,14,8,african
40,antelope,15,8,african
40,bear,16,9,northamerican
40,warthog,17,10,african
40,hare,18,11,rabbit
43,rabbit,1,1,pets
43,cat,2,1,pets
43,dog,3,1,pets
43,jaguar,4,2,feline
43,gorilla,5,3,african
43,cheetah,6,3,african
43,lion,7,3,african
43,tiger,8,3,african
43,giraffe,9,3,african
43,zebra,10,3,african
43,fox,11,4,northamerican
43,snake,12,5,farm
43,sealion,13,6,water
43,cobra,14,7,african
43,turtle,15,7,reptileamphibian
43,worm,16,8,insects
43,ant,17,8,insects
43,slug,18,9,water
43,snail,19,9,water
43,grasshopper,20,10,insects
49,rabbit,1,1,pets
49,cat,2,1,pets
49,dog,3,1,pets
49,hamster,4,1,pets
49,donkey,5,2,farm
49,horse,6,2,farm
49,leopard,7,3,african
49,lion,8,3,african
49,tiger,9,3,african
49,zebra,10,3,african
49,giraffe,11,3,african
49,bird,12,4,bird
49,foal,13,5,farm
49,monkey,14,6,african
49,baboon,15,6,primates
49,chimpanzee,16,6,african
49,gorilla,17,6,african
49,chicken,18,7,farm
51,cat,1,1,pets
51,sheep,2,2,farm
51,horse,3,2,farm
51,goldfish,4,3,fish
51,hen,5,4,farm
51,chicken,6,4,farm
51,duck,7,4,bird
51,piglet,8,5,farm
51,goose,9,6,water
51,spider,10,7,farm
51,worm,11,8,insects
51,slug,12,9,water
51,snail,13,9,water
54,dog,1,1,pets
54,tiger,2,2,african
54,lion,3,2,african
54,monkey,4,2,african
54,pig,5,3,farm
54,crocodile,6,4,reptileamphibian
54,bird,7,5,bird
54,fish,8,6,fish
55,tarantula,1,1,insects
55,reindeer,2,2,arctic
55,hippopotamus,3,3,african
55,deer,4,4,northamerican
55,leopard,5,5,african
55,lion,6,5,african
55,cheetah,7,5,african
55,elephant,8,5,african
56,beaver,1,1,northamerican
56,dog,2,2,pets
56,tiger,3,3,african
56,cat,4,4,pets
56,zebra,5,5,african
56,elephant,6,5,african
56,monkey,7,5,african
56,parrot,8,6,pets
56,kangaroo,9,7,australian
56,koala,10,7,australian
56,piranha,11,8,fish
56,seal,12,9,arctic
56,dolphin,13,9,water
56,whale,14,9,fish
56,penguin,15,9,arctic
56,polarbear,16,9,arctic
56,camel,17,10,african
56,horse,18,10,farm
56,bull,19,11,feline
56,cow,20,12,farm
56,duck,21,13,bird
56,pig,22,14,farm
59,cat,1,1,pets
59,horse,2,2,farm
59,pony,3,2,farm
59,sheep,4,2,farm
59,cow,5,2,farm
59,deer,6,3,northamerican
59,pig,7,4,farm
