Participant,Response_01,Response_02,Response_03,Response_04,Response_05,Response_06,Response_07,Response_08,Response_09,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Response_16,Response_17,Response_18,Response_19,Response_20,Response_21,Response_22,Response_23,,,,,
1,pineapple,cereal,ice cream,cucumber,carrot,cauliflower,blueberry,blackberry,porridge,chocolate,biscuits,,,,,,,,,,,,,,,,,
4,tomato,banana,orange,apple,lettuce,cucumber,chicken,broccoli,carrot,mashed potato,spaghetti bolognese,,,,,,,,,,,,,,,,,
6,pizza,orange,tangerine,samosa,fish,steak,bacon,chips,ketchup,apple,kiwi,melon,strawberry,grapefruit,lemon,lime,,,,,,,,,,,,
7,chocolate,ice cream,salad,potato,chips,pizza,lasagne,meat,caramel,apple,banana,carrot,,,,,,,,,,,,,,,,
13,pizza,chicken nuggets,apple,orange,grape,banana,pear,tangerine,fish fingers,burger,chips,spaghetti,sausage,kiwi,tomato,cucumber,lettuce,turnip,zucchini,pea,rocket,,,,,,,
14,cake,chocolate,pizza,bread,orange,apple,banana,mango,passionfruit,grape,watermelon,melon,peach,pear,sweets,cabbage,broccoli,carrot,,,,,,,,,,
17,chips,burger,fish fingers,sausage,pizza,ice cream,ice lolly,pasta,pasta sauce,brown sauce,vinegar,salt,pepper,chicken,pork,steak,lettuce,carrot,orange,banana,apple,watermelon,melon,,,,,
18,carrot,mushroom,pepper,raspberry,pizza,onions,chips,fish fingers,fish  ,ice lolly,ice cream,coconut,chicken,lamb,gammon,crisps,biscuits,yoghurt,cereal,,,,,,,,,
20,pizza,apple,pear,chicken nuggets,lettuce,peach,fish fingers,fish  ,corn,potato,orange,,,,,,,,,,,,,,,,,
21,pizza,ice cream,chicken nuggets,sweetcorn,carrot,cereal,granola,chocolate bar,candy,pasta,chips,burger,cake,apple,banana,kiwi,mango,,,,,,,,,,,
23,pizza,apple,orange,banana,maccaroni cheese,broccoli,carrot,lettuce,cabbage,pasta,tomato,chicken,ham,lamb,,,,,,,,,,,,,,
25,pizza,spaghetti,curry,apple,banana,orange,mango,pineapple,carrot,dragonfruit,coconut,noodles,chicken,bacon,pomegrate,kiwi,,,,,,,,,,,,
26,banana,apple,orange,grape,strawberry,blueberry,raspberry,blackberry,ice cream,pizza,sweets,doughnut,chocolate,chicken,lettuce,cabbage,cucumber,tomato,carrot,,,,,,,,,
31,apple,pizza,cake,turkish delight,chicken,chips,sausage,bean,tomato,broccoli,carrot,potato,meatloaf,beefburger,bread,spaghetti,chocolate biscuits,biscuits,cheese,yoghurt,,,,,,,,
33,pizza,pepperoni,salami,cheese,tomato sauce,burger,chips,banana,apple,tangerine,orange,spaghetti,sausage,lamb kebab,potato,sandwiches,ham,mayonnaise,butter,chicken nuggets,bacon,,,,,,,
35,pizza,apple,orange,banana,grape,chips,burger,bread,chocolate,marshmallows,jelly,fish,chicken,peas,sweetcorn,ham,cheese,tuna,jam,butter,yeast,flour,sugar ,eggs,baking powder,spaghetti,sauce,vinegar
39,pizza,apple,banana,chicken nuggets,chocolate,ice cream,breadsticks,pasta,,,,,,,,,,,,,,,,,,,,
40,pizza,apple,pear,spaghetti,bolognese,chicken,lettuce,cucumber,potato,stew,bean,bacon,sausage,egg,pancakes,sugar,cake,lemon,pie,waffle,pepper,grape,,,,,,
43,pizza,sandwich,chocolate,Haribo,carrot,lettuce,mints,cough sweets,boiled sweets,rice,salad,fruit salad,fajitas,apple,pear,,,,,,,,,,,,,
49,orange,melon,banana,grape,kiwi,cereal,toast,strawberry,blueberry,blackberry,raspberry,pasta,curry,lasagne,chicken,burger,chips,fries,jacket potato,cheese,ham,tuna,,,,,,
51,bread,cereal,bacon,egg,toast,roast chicken,burger,pineapple,broccoli,carrot,lettuce,zucchini,pepper,,,,,,,,,,,,,,,
54,pizza,pasta,fish fingers,chips,tomato ketchup,hotdog,bread,banana,apple,pear,grape,cucumber,tomato,roast pork,chicken,,,,,,,,,,,,,
55,mashed potato,cauliflower,corn,sweetcorn,carrot,potato,radish,cucumber,tomato,banana,orange,grape,apple,baked beans,mange tout,broad bean,kidney bean,salad,,,,,,,,,,
56,pizza,apple,fish,rice,chicken,curry,Yorkshire ,beef,sausage,mashed potato,pea,bean,toast,bread,banana,pineapple,blueberry,raspberry,strawberry,chili pepper,carrot,pear,potato,,,,,
59,toast,bread,porridge,sandwich,chicken burger,pasta,chili,corn,jacket potato,tuna,,,,,,,,,,,,,,,,,,
