participant_id,word,order,cluster_id,category
1,pineapple,1,1,fruit
1,cereal,2,2,breakfast
1,icecream,3,3,Unknown
1,cucumber,4,4,vegetables
1,carrot,5,5,Unknown
1,cauliflower,6,6,Unknown
1,blueberry,7,7,Unknown
1,blackberry,8,8,Unknown
1,porridge,9,9,breakfast
1,chocolate,10,10,snacks
1,biscuits,11,10,snacks
4,tomato,1,1,vegetables
4,banana,2,2,fruit
4,orange,3,2,fruit
4,apple,4,2,fruit
4,lettuce,5,3,vegetables
4,cucumber,6,3,vegetables
4,chicken,7,4,meat
4,broccoli,8,5,vegetables
4,carrot,9,6,Unknown
4,mashedpotato,10,7,Unknown
4,spaghettibolognese,11,8,Unknown
6,pizza,1,1,italian
6,orange,2,2,fruit
6,tangerine,3,3,Unknown
6,samosa,4,4,asian
6,fish,5,5,fast food
6,steak,6,6,meat
6,bacon,7,6,meat
6,chips,8,7,fast food
6,ketchup,9,8,Unknown
6,apple,10,9,fruit
6,kiwi,11,10,Unknown
6,melon,12,11,Unknown
6,strawberry,13,12,Unknown
6,grapefruit,14,13,Unknown
6,lemon,15,14,Unknown
6,lime,16,15,Unknown
7,chocolate,1,1,snacks
7,icecream,2,2,Unknown
7,salad,3,3,vegetables
7,potato,4,4,Unknown
7,chips,5,5,fast food
7,pizza,6,5,italian
7,lasagne,7,6,Unknown
7,meat,8,7,Unknown
7,caramel,9,8,sweet
7,apple,10,9,fruit
7,banana,11,9,fruit
7,carrot,12,10,Unknown
13,pizza,1,1,italian
13,chickennuggets,2,2,Unknown
13,apple,3,3,fruit
13,orange,4,3,fruit
13,grape,5,4,Unknown
13,banana,6,5,fruit
13,pear,7,5,fruit
13,tangerine,8,6,Unknown
13,fishfingers,9,7,Unknown
13,burger,10,8,Unknown
13,chips,11,9,fast food
13,spaghetti,12,10,italian
13,sausage,13,11,Unknown
13,kiwi,14,12,Unknown
13,tomato,15,13,vegetables
13,cucumber,16,13,vegetables
13,lettuce,17,13,vegetables
13,turnip,18,14,Unknown
13,zucchini,19,15,Unknown
13,pea,20,16,Unknown
13,rocket,21,17,Unknown
14,cake,1,1,desserts
14,chocolate,2,1,snacks
14,pizza,3,2,italian
14,bread,4,3,Unknown
14,orange,5,4,fruit
14,apple,6,4,fruit
14,banana,7,4,fruit
14,mango,8,4,fruit
14,passionfruit,9,5,Unknown
14,grape,10,6,Unknown
14,watermelon,11,7,Unknown
14,melon,12,8,Unknown
14,peach,13,9,Unknown
14,pear,14,10,fruit
14,sweets,15,11,sweet
14,cabbage,16,12,vegetables
14,broccoli,17,12,vegetables
14,carrot,18,13,Unknown
17,chips,1,1,fast food
17,burger,2,2,Unknown
17,fishfingers,3,3,Unknown
17,sausage,4,4,Unknown
17,pizza,5,5,italian
17,icecream,6,6,Unknown
17,icelolly,7,7,Unknown
17,pasta,8,8,italian
17,pastasauce,9,9,Unknown
17,brownsauce,10,10,Unknown
17,vinegar,11,11,condiments/seasoning
17,salt,12,11,condiments/seasoning
17,pepper,13,11,condiments/seasoning
17,chicken,14,12,meat
17,pork,15,12,meat
17,steak,16,12,meat
17,lettuce,17,13,vegetables
17,carrot,18,14,Unknown
17,orange,19,15,fruit
17,banana,20,15,fruit
17,apple,21,15,fruit
17,watermelon,22,16,Unknown
17,melon,23,17,Unknown
18,carrot,1,1,Unknown
18,mushroom,2,2,Unknown
18,pepper,3,3,condiments/seasoning
18,raspberry,4,4,Unknown
18,pizza,5,5,italian
18,onions,6,6,Unknown
18,chips,7,7,fast food
18,fishfingers,8,8,Unknown
18,fish,9,9,fast food
18,icelolly,10,10,Unknown
18,icecream,11,11,Unknown
18,coconut,12,12,Unknown
18,chicken,13,13,meat
18,lamb,14,13,meat
18,gammon,15,14,Unknown
18,crisps,16,15,savoury snacks
18,biscuits,17,15,snacks
18,yoghurt,18,16,dairy
18,cereal,19,16,breakfast
20,pizza,1,1,italian
20,apple,2,2,fruit
20,pear,3,2,fruit
20,chickennuggets,4,3,Unknown
20,lettuce,5,4,vegetables
20,peach,6,5,Unknown
20,fishfingers,7,6,Unknown
20,fish,8,7,fast food
20,corn,9,8,Unknown
20,potato,10,9,Unknown
20,orange,11,10,fruit
21,pizza,1,1,italian
21,icecream,2,2,Unknown
21,chickennuggets,3,3,Unknown
21,sweetcorn,4,4,Unknown
21,carrot,5,5,Unknown
21,cereal,6,6,breakfast
21,granola,7,6,breakfast
21,chocolatebar,8,7,Unknown
21,candy,9,8,Unknown
21,pasta,10,9,italian
21,chips,11,10,fast food
21,burger,12,11,Unknown
21,cake,13,12,desserts
21,apple,14,13,fruit
21,banana,15,13,fruit
21,kiwi,16,14,Unknown
21,mango,17,15,fruit
23,pizza,1,1,italian
23,apple,2,2,fruit
23,orange,3,2,fruit
23,banana,4,2,fruit
23,maccaronicheese,5,3,Unknown
23,broccoli,6,4,vegetables
23,carrot,7,5,Unknown
23,lettuce,8,6,vegetables
23,cabbage,9,6,vegetables
23,pasta,10,7,italian
23,tomato,11,8,vegetables
23,chicken,12,9,meat
23,ham,13,9,meat
23,lamb,14,9,meat
25,pizza,1,1,italian
25,spaghetti,2,1,italian
25,curry,3,2,asian
25,apple,4,3,fruit
25,banana,5,3,fruit
25,orange,6,3,fruit
25,mango,7,3,fruit
25,pineapple,8,3,fruit
25,carrot,9,4,Unknown
25,dragonfruit,10,5,Unknown
25,coconut,11,6,Unknown
25,noodles,12,7,asian
25,chicken,13,8,meat
25,bacon,14,8,meat
25,pomegrate,15,9,Unknown
25,kiwi,16,10,Unknown
26,banana,1,1,fruit
26,apple,2,1,fruit
26,orange,3,1,fruit
26,grape,4,2,Unknown
26,strawberry,5,3,Unknown
26,blueberry,6,4,Unknown
26,raspberry,7,5,Unknown
26,blackberry,8,6,Unknown
26,icecream,9,7,Unknown
26,pizza,10,8,italian
26,sweets,11,9,sweet
26,doughnut,12,9,sweet
26,chocolate,13,9,snacks
26,chicken,14,10,meat
26,lettuce,15,11,vegetables
26,cabbage,16,11,vegetables
26,cucumber,17,11,vegetables
26,tomato,18,11,vegetables
26,carrot,19,12,Unknown
31,apple,1,1,fruit
31,pizza,2,2,italian
31,cake,3,3,desserts
31,turkishdelight,4,4,Unknown
31,chicken,5,5,meat
31,chips,6,6,fast food
31,sausage,7,7,Unknown
31,bean,8,8,Unknown
31,tomato,9,9,vegetables
31,broccoli,10,9,vegetables
31,carrot,11,10,Unknown
31,potato,12,11,Unknown
31,meatloaf,13,12,Unknown
31,beefburger,14,13,Unknown
31,bread,15,14,Unknown
31,spaghetti,16,15,italian
31,chocolatebiscuits,17,16,Unknown
31,biscuits,18,17,snacks
31,cheese,19,18,dairy
31,yoghurt,20,18,dairy
33,pizza,1,1,italian
33,pepperoni,2,2,Unknown
33,salami,3,3,Unknown
33,cheese,4,4,dairy
33,tomatosauce,5,5,Unknown
33,burger,6,6,Unknown
33,chips,7,7,fast food
33,banana,8,8,fruit
33,apple,9,8,fruit
33,tangerine,10,9,Unknown
33,orange,11,10,fruit
33,spaghetti,12,11,italian
33,sausage,13,12,Unknown
33,lambkebab,14,13,Unknown
33,potato,15,14,Unknown
33,sandwiches,16,15,Unknown
33,ham,17,16,meat
33,mayonnaise,18,17,condiments/seasoning
33,butter,19,17,dairy
33,chickennuggets,20,18,Unknown
33,bacon,21,19,meat
35,pizza,1,1,italian
35,apple,2,2,fruit
35,orange,3,2,fruit
35,banana,4,2,fruit
35,grape,5,3,Unknown
35,chips,6,4,fast food
35,burger,7,5,Unknown
35,bread,8,6,Unknown
35,chocolate,9,7,snacks
35,marshmallows,10,8,Unknown
35,jelly,11,9,Unknown
35,fish,12,10,fast food
35,chicken,13,11,meat
35,peas,14,12,Unknown
35,sweetcorn,15,13,Unknown
35,ham,16,14,meat
35,cheese,17,15,dairy
35,tuna,18,16,fish
35,jam,19,17,Unknown
35,butter,20,18,dairy
35,yeast,21,19,Unknown
35,flour,22,20,Unknown
35,sugar,23,21,condiments/seasoning
39,pizza,1,1,italian
39,apple,2,2,fruit
39,banana,3,2,fruit
39,chickennuggets,4,3,Unknown
39,chocolate,5,4,snacks
39,icecream,6,5,Unknown
39,breadsticks,7,6,savoury snacks
39,pasta,8,7,italian
40,pizza,1,1,italian
40,apple,2,2,fruit
40,pear,3,2,fruit
40,spaghetti,4,3,italian
40,bolognese,5,4,Unknown
40,chicken,6,5,meat
40,lettuce,7,6,vegetables
40,cucumber,8,6,vegetables
40,potato,9,7,Unknown
40,stew,10,8,Unknown
40,bean,11,9,Unknown
40,bacon,12,10,meat
40,sausage,13,11,Unknown
40,egg,14,12,Unknown
40,pancakes,15,13,Unknown
40,sugar,16,14,condiments/seasoning
40,cake,17,14,desserts
40,lemon,18,15,Unknown
40,pie,19,16,Unknown
40,waffle,20,17,Unknown
40,pepper,21,18,condiments/seasoning
40,grape,22,19,Unknown
43,pizza,1,1,italian
43,sandwich,2,2,Unknown
43,chocolate,3,3,snacks
43,haribo,4,4,Unknown
43,carrot,5,5,Unknown
43,lettuce,6,6,vegetables
43,mints,7,7,Unknown
43,coughsweets,8,8,Unknown
43,boiledsweets,9,9,Unknown
43,rice,10,10,asian
43,salad,11,11,vegetables
43,fruitsalad,12,12,Unknown
43,fajitas,13,13,Unknown
43,apple,14,14,fruit
43,pear,15,14,fruit
49,orange,1,1,fruit
49,melon,2,2,Unknown
49,banana,3,3,fruit
49,grape,4,4,Unknown
49,kiwi,5,5,Unknown
49,cereal,6,6,breakfast
49,toast,7,6,breakfast
49,strawberry,8,7,Unknown
49,blueberry,9,8,Unknown
49,blackberry,10,9,Unknown
49,raspberry,11,10,Unknown
49,pasta,12,11,italian
49,curry,13,12,asian
49,lasagne,14,13,Unknown
49,chicken,15,14,meat
49,burger,16,15,Unknown
49,chips,17,16,fast food
49,fries,18,17,Unknown
49,jacketpotato,19,18,Unknown
49,cheese,20,19,dairy
49,ham,21,20,meat
49,tuna,22,21,fish
51,bread,1,1,Unknown
51,cereal,2,2,breakfast
51,bacon,3,3,meat
51,egg,4,4,Unknown
51,toast,5,5,breakfast
51,roastchicken,6,6,Unknown
51,burger,7,7,Unknown
51,pineapple,8,8,fruit
51,broccoli,9,9,vegetables
51,carrot,10,10,Unknown
51,lettuce,11,11,vegetables
51,zucchini,12,12,Unknown
51,pepper,13,13,condiments/seasoning
54,pizza,1,1,italian
54,pasta,2,1,italian
54,fishfingers,3,2,Unknown
54,chips,4,3,fast food
54,tomatoketchup,5,4,Unknown
54,hotdog,6,5,Unknown
54,bread,7,6,Unknown
54,banana,8,7,fruit
54,apple,9,7,fruit
54,pear,10,7,fruit
54,grape,11,8,Unknown
54,cucumber,12,9,vegetables
54,tomato,13,9,vegetables
54,roastpork,14,10,Unknown
54,chicken,15,11,meat
55,mashedpotato,1,1,Unknown
55,cauliflower,2,2,Unknown
55,corn,3,3,Unknown
55,sweetcorn,4,4,Unknown
55,carrot,5,5,Unknown
55,potato,6,6,Unknown
55,radish,7,7,Unknown
55,cucumber,8,8,vegetables
55,tomato,9,8,vegetables
55,banana,10,9,fruit
55,orange,11,9,fruit
55,grape,12,10,Unknown
55,apple,13,11,fruit
55,bakedbeans,14,12,Unknown
55,mangetout,15,13,Unknown
55,broadbean,16,14,Unknown
55,kidneybean,17,15,Unknown
55,salad,18,16,vegetables
56,pizza,1,1,italian
56,apple,2,2,fruit
56,fish,3,3,fast food
56,rice,4,4,asian
56,chicken,5,5,meat
56,curry,6,6,asian
56,yorkshire,7,7,Unknown
56,beef,8,8,meat
56,sausage,9,9,Unknown
56,mashedpotato,10,10,Unknown
56,pea,11,11,Unknown
56,bean,12,12,Unknown
56,toast,13,13,breakfast
56,bread,14,14,Unknown
56,banana,15,15,fruit
56,pineapple,16,15,fruit
56,blueberry,17,16,Unknown
56,raspberry,18,17,Unknown
56,strawberry,19,18,Unknown
56,chilipepper,20,19,Unknown
56,carrot,21,20,Unknown
56,pear,22,21,fruit
56,potato,23,22,Unknown
59,toast,1,1,breakfast
59,bread,2,2,Unknown
59,porridge,3,3,breakfast
59,sandwich,4,4,Unknown
59,chickenburger,5,5,Unknown
59,pasta,6,6,italian
59,chili,7,7,Unknown
59,corn,8,8,Unknown
59,jacketpotato,9,9,Unknown
59,tuna,10,10,fish
