Participant,Response_01,Response_02,Response_03,Response_04,Response_05,Response_06,Response_07,Response_08,Response_09,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Response_16,Response_17,Response_18
1,hospital worker,doctor,,,,,,,,,,,,,,,,
6,careworker,electrician,babysitter,mechanic,builder,athlete,estate agent,TV presenter,field commander,,,,,,,,,
7,veterinarian,ambulance driver,police officer,doctor,footballer,runner,,,,,,,,,,,,
13,teacher,builder,mechanic,cook,waiter,scientist,babysitter,veterinarian,,, ,,,,,,,
14,engineer,sculptor,babysitter,office worker,mechanic,taxi driver,window cleaner,artist,,,,,,,,,,
17,teacher,zookeeper,nurse,childminder,police officer,fire fighter,mechanic,builder,,,,,,,,,,
18,teacher,babysitter,window cleaner,builder,shop worker,doctor,hospital worker,,,,,,,,,,,
20,teacher,veterinarian,diver,archaeologist,designer,mechanic,builder,,,,,,,,,,,
21,police officer,electrician,singer,actor,designer,wedding planner,baker,archaeologist,footballer,business person,waiter,photographer,pilot,,,,,
23,formula one racer,police officer,inspector,babysitter,,,,,,,,,,,,,,
25,footballer,mechanic,nurse,doctor,physiotherapist,scientist,,,,,,,,,,,,
26,engineer,teacher,teaching assistant,manager,mechanic,electrician,nursery teacher,scientist,beautician,hairdresser,athlete,,,,,,,
31,babysitter,mechanic,teacher,footballer,athlete,dentist,nurse,doctor,racecar driver,actor,comedian,shop worker,builder,farmer,,,,
33,mechanic,babysitter,formula one racer,tennis player,cricketer,footballer,teacher,nurse,headteacher,business person,landlord,,,,,,,
35,doctor,teacher ,teaching assistant,nurse,painter,decorator,shop mager,engineer,runner,,,,,,,,,
39,football,rugby player,basketball player,doctor,mechanic,babysitter,manager,shop keeper,postman,delivery driver,physical education teacher,coach,fire fighter,,,,,
40,babysitter,runner,athlete,lawyer,entrepreneur,plumber,police officer,fire fighter,nurse,doctor,electrician,,,,,,,
43,physiotherapist,doctor,teacher,headteacher,babysitter,ballet teacher,gymnastics teacher,deputy head,,,,,,,,,,
49,teacher,doctor,veterinarian,shop keeper,butcher,dentist,painter,,,,,,,,,,,
55,manager,police officer,dentist,nurse,doctor,,,,,,,,,,,,,
56,police officer,housekeeper,servant,cook,chef,workman,doctor,baker,construction worker,builder,hairdresser,barber,,,,,,
59,teacher,farmer,,,,,,,,,,,,,,,,
