participant_id,word,order,cluster_id,category
1,hospitalworker,1,1,Unknown
1,doctor,2,2,hospital/care
6,careworker,1,1,Unknown
6,electrician,2,2,house
6,babysitter,3,2,house
6,mechanic,4,3,technical
6,builder,5,4,manual labour
6,athlete,6,5,sports
6,estateagent,7,6,Unknown
6,tvpresenter,8,7,Unknown
6,fieldcommander,9,8,Unknown
7,veterinarian,1,1,Unknown
7,ambulancedriver,2,2,Unknown
7,policeofficer,3,3,Unknown
7,doctor,4,4,hospital/care
7,footballer,5,5,sports
7,runner,6,6,Unknown
13,teacher,1,1,child care
13,builder,2,2,manual labour
13,mechanic,3,3,technical
13,cook,4,4,food
13,waiter,5,5,retail
13,scientist,6,6,science and research
13,babysitter,7,7,house
13,veterinarian,8,8,Unknown
14,engineer,1,1,Unknown
14,sculptor,2,2,Unknown
14,babysitter,3,3,house
14,officeworker,4,4,Unknown
14,mechanic,5,5,technical
14,taxidriver,6,6,Unknown
14,windowcleaner,7,7,Unknown
14,artist,8,8,creative
17,teacher,1,1,child care
17,zookeeper,2,2,Unknown
17,nurse,3,3,hospital/care
17,childminder,4,4,Unknown
17,policeofficer,5,5,Unknown
17,firefighter,6,6,Unknown
17,mechanic,7,7,technical
17,builder,8,8,manual labour
18,teacher,1,1,child care
18,babysitter,2,1,house
18,windowcleaner,3,2,Unknown
18,builder,4,3,manual labour
18,shopworker,5,4,Unknown
18,doctor,6,5,hospital/care
18,hospitalworker,7,6,Unknown
20,teacher,1,1,child care
20,veterinarian,2,2,Unknown
20,diver,3,3,Unknown
20,archaeologist,4,4,Unknown
20,designer,5,5,creative
20,mechanic,6,6,technical
20,builder,7,7,manual labour
21,policeofficer,1,1,Unknown
21,electrician,2,2,house
21,singer,3,3,performance
21,actor,4,3,performance
21,designer,5,4,creative
21,weddingplanner,6,5,Unknown
21,baker,7,6,food
21,archaeologist,8,7,Unknown
21,footballer,9,8,sports
21,businessperson,10,9,managerial
21,waiter,11,10,retail
21,photographer,12,11,Unknown
21,pilot,13,12,driver
23,formulaoneracer,1,1,Unknown
23,policeofficer,2,2,Unknown
23,inspector,3,3,Unknown
23,babysitter,4,4,house
25,footballer,1,1,sports
25,mechanic,2,2,technical
25,nurse,3,3,hospital/care
25,doctor,4,3,hospital/care
25,physiotherapist,5,4,Unknown
25,scientist,6,5,science and research
26,engineer,1,1,Unknown
26,teacher,2,2,child care
26,teachingassistant,3,3,Unknown
26,manager,4,4,managerial
26,mechanic,5,5,technical
26,electrician,6,5,house
26,nurseryteacher,7,6,Unknown
26,scientist,8,7,science and research
26,beautician,9,8,salon
26,hairdresser,10,8,salon
26,athlete,11,9,sports
31,babysitter,1,1,house
31,mechanic,2,2,technical
31,teacher,3,3,child care
31,footballer,4,4,sports
31,athlete,5,4,sports
31,dentist,6,5,hospital/care
31,nurse,7,5,hospital/care
31,doctor,8,5,hospital/care
31,racecardriver,9,6,Unknown
31,actor,10,7,performance
31,comedian,11,7,performance
31,shopworker,12,8,Unknown
31,builder,13,9,manual labour
31,farmer,14,9,manual labour
33,mechanic,1,1,technical
33,babysitter,2,2,house
33,formulaoneracer,3,3,Unknown
33,tennisplayer,4,4,Unknown
33,cricketer,5,5,Unknown
33,footballer,6,6,sports
33,teacher,7,7,child care
33,nurse,8,8,hospital/care
33,headteacher,9,9,school
33,businessperson,10,10,managerial
33,landlord,11,11,Unknown
35,doctor,1,1,hospital/care
35,teacher,2,2,child care
35,teachingassistant,3,3,Unknown
35,nurse,4,4,hospital/care
35,painter,5,5,manual labour
35,decorator,6,6,Unknown
35,shopmager,7,7,Unknown
35,engineer,8,8,Unknown
35,runner,9,9,Unknown
39,football,1,1,Unknown
39,rugbyplayer,2,2,Unknown
39,basketballplayer,3,3,Unknown
39,doctor,4,4,hospital/care
39,mechanic,5,5,technical
39,babysitter,6,6,house
39,manager,7,7,managerial
39,shopkeeper,8,8,Unknown
39,postman,9,9,Unknown
39,deliverydriver,10,10,Unknown
39,physicaleducationteacher,11,11,Unknown
39,coach,12,12,Unknown
39,firefighter,13,13,Unknown
40,babysitter,1,1,house
40,runner,2,2,Unknown
40,athlete,3,3,sports
40,lawyer,4,4,Unknown
40,entrepreneur,5,5,Unknown
40,plumber,6,6,house
40,policeofficer,7,7,Unknown
40,firefighter,8,8,Unknown
40,nurse,9,9,hospital/care
40,doctor,10,9,hospital/care
40,electrician,11,10,house
43,physiotherapist,1,1,Unknown
43,doctor,2,2,hospital/care
43,teacher,3,3,child care
43,headteacher,4,3,school
43,babysitter,5,4,house
43,balletteacher,6,5,Unknown
43,gymnasticsteacher,7,6,Unknown
43,deputyhead,8,7,Unknown
49,teacher,1,1,child care
49,doctor,2,2,hospital/care
49,veterinarian,3,3,Unknown
49,shopkeeper,4,4,Unknown
49,butcher,5,5,Unknown
49,dentist,6,6,hospital/care
49,painter,7,7,manual labour
55,manager,1,1,managerial
55,policeofficer,2,2,Unknown
55,dentist,3,3,hospital/care
55,nurse,4,3,hospital/care
55,doctor,5,3,hospital/care
56,policeofficer,1,1,Unknown
56,housekeeper,2,2,Unknown
56,servant,3,3,Unknown
56,cook,4,4,food
56,chef,5,4,food
56,workman,6,5,Unknown
56,doctor,7,6,hospital/care
56,baker,8,7,food
56,constructionworker,9,8,Unknown
56,builder,10,9,manual labour
56,hairdresser,11,10,salon
56,barber,12,11,Unknown
59,teacher,1,1,child care
59,farmer,2,2,manual labour
