participant_id,word,order,cluster_id,category
11E,fox,1,1,northamerican
11E,lion,2,2,african
11E,dog,3,3,pets
11E,cat,4,3,pets
11E,bear,5,4,northamerican
11E,zebra,6,5,african
11E,giraffe,7,5,african
11E,hedgehog,8,6,insectivores
11E,frog,9,7,reptileamphibian
11E,lizard,10,7,reptileamphibian
11E,cow,11,8,farm
11E,sheep,12,8,farm
11E,llama,13,9,beastsofburden
11E,donkey,14,9,farm
11E,horse,15,9,farm
11E,polarbear,16,10,arctic
11E,squirrel,17,11,northamerican
11E,bird,18,12,bird
11E,shark,19,13,fish
11E,dolphin,20,13,water
11E,fish,21,13,fish
11E,octopus,22,13,water
12E,tiger,1,1,african
12E,dog,2,2,pets
12E,cat,3,2,pets
12E,fish,4,3,fish
12E,llama,5,4,beastsofburden
12E,lamb,6,5,farm
12E,pig,7,5,farm
12E,meerkat,8,6,african
12E,donkey,9,7,farm
12E,horse,10,7,farm
12E,guineapig,11,8,pets
12E,rabbit,12,8,pets
12E,rat,13,9,rodents
12E,mouse,14,9,bird
12E,lion,15,10,african
12E,jaguar,16,10,feline
12E,ladybird,17,11,insects
12E,ant,18,11,insects
12E,bee,19,11,insects
12E,wasp,20,11,insects
12E,monkey,21,12,african
12E,cheetah,22,12,african
12E,kangaroo,23,13,australian
12E,giraffe,24,14,african
13E,dog,1,1,pets
13E,cat,2,1,pets
13E,bird,3,2,bird
13E,frog,4,3,reptileamphibian
13E,giraffe,5,4,african
13E,elephant,6,4,african
13E,dinosaur,7,5,reptileamphibian
13E,seal,8,6,arctic
14E,tiger,1,1,african
14E,dinosaur,2,2,reptileamphibian
14E,seal,3,3,arctic
14E,lion,4,4,african
14E,cat,5,5,pets
14E,zebra,6,6,african
14E,monkey,7,6,african
14E,elephant,8,6,african
14E,bulldog,9,7,canine
14E,pig,10,8,farm
14E,horse,11,8,farm
15E,snake,1,1,farm
15E,insect,2,2,insects
15E,rabbit,3,3,pets
15E,human,4,4,primates
15E,fly,5,5,insects
15E,crocodile,6,6,reptileamphibian
15E,alligator,7,6,reptileamphibian
15E,lion,8,7,african
15E,wilddog,9,8,canine
15E,cat,10,9,pets
15E,fish,11,10,fish
15E,bear,12,11,northamerican
15E,butterfly,13,12,insects
15E,centipede,14,12,insects
15E,scorpion,15,12,insects
15E,horse,16,13,farm
15E,bird,17,14,bird
16E,dog,1,1,pets
16E,parrot,2,1,pets
16E,tiger,3,2,african
16E,lion,4,2,african
16E,turtle,5,3,reptileamphibian
16E,giraffe,6,4,african
16E,fish,7,5,fish
17E,lion,1,1,african
17E,tiger,2,1,african
17E,elephant,3,1,african
17E,dog,4,2,pets
17E,cat,5,2,pets
17E,rhinoceros,6,3,african
17E,hippopotamus,7,3,african
17E,hyena,8,3,african
17E,cheetah,9,3,african
17E,panda,10,4,asian
17E,frog,11,5,reptileamphibian
17E,fish,12,5,fish
17E,bird,13,6,bird
17E,monkey,14,7,african
17E,donkey,15,8,farm
17E,camel,16,8,african
17E,fly,17,9,insects
17E,ladybird,18,9,insects
19E,dog,1,1,pets
19E,tiger,2,2,african
19E,rhinoceros,3,2,african
19E,lion,4,2,african
19E,owl,5,3,bird
19E,butterfly,6,4,insects
19E,turtle,7,5,reptileamphibian
19E,tortoise,8,5,reptileamphibian
1E,monkey,1,1,african
1E,cat,2,2,pets
1E,dog,3,2,pets
1E,lion,4,3,african
1E,tiger,5,3,african
1E,gorilla,6,3,african
1E,turtle,7,4,reptileamphibian
1E,hippopotamus,8,5,african
1E,elephant,9,5,african
1E,lizard,10,6,reptileamphibian
1E,beardeddragon,11,6,reptileamphibian
20E,cat,1,1,pets
20E,dog,2,1,pets
20E,mouse,3,2,bird
20E,tiger,4,3,african
20E,hyena,5,3,african
20E,sheep,6,4,farm
20E,horse,7,4,farm
20E,chicken,8,4,farm
21E,tiger,1,1,african
21E,lion,2,1,african
21E,horse,3,2,farm
21E,pig,4,2,farm
21E,donkey,5,2,farm
21E,cow,6,2,farm
21E,duck,7,3,bird
22E,dog,1,1,pets
22E,cat,2,1,pets
22E,tiger,3,2,african
22E,penguin,4,3,arctic
22E,whale,5,3,fish
22E,polarbear,6,4,arctic
22E,shark,7,5,fish
22E,fish,8,5,fish
22E,cheetah,9,6,african
22E,giraffe,10,6,african
22E,elephant,11,6,african
22E,lemur,12,6,african
22E,horse,13,7,farm
22E,donkey,14,7,farm
22E,rabbit,15,8,pets
22E,lizard,16,9,reptileamphibian
22E,snake,17,9,farm
24E,dog,1,1,pets
24E,cat,2,1,pets
24E,horse,3,2,farm
24E,fish,4,3,fish
24E,sheep,5,4,farm
24E,cow,6,4,farm
24E,tiger,7,5,african
24E,hippopotamus,8,5,african
24E,elephant,9,5,african
24E,giraffe,10,5,african
24E,rabbit,11,6,pets
24E,deer,12,6,northamerican
24E,monkey,13,7,african
25E,snake,1,1,farm
25E,dog,2,2,pets
25E,cat,3,2,pets
25E,rabbit,4,2,pets
25E,eagle,5,3,bird
25E,seagull,6,3,bird
25E,crocodile,7,4,reptileamphibian
25E,fish,8,5,fish
25E,frog,9,5,reptileamphibian
25E,worm,10,6,insects
25E,slug,11,7,water
25E,snail,12,7,water
25E,mouse,13,8,bird
25E,rat,14,8,rodents
25E,hamster,15,8,pets
25E,guineapig,16,8,pets
26E,dog,1,1,pets
26E,tiger,2,2,african
26E,elephant,3,2,african
26E,lion,4,2,african
26E,cheetah,5,2,african
26E,snake,6,3,farm
26E,spider,7,3,farm
26E,pig,8,3,farm
26E,cow,9,3,farm
26E,sheep,10,3,farm
26E,chicken,11,3,farm
26E,wolf,12,4,northamerican
26E,jaguar,13,5,feline
26E,fish,14,6,fish
26E,whale,15,6,fish
28E,lionfish,1,1,fish
28E,antelope,2,2,african
28E,tiger,3,2,african
28E,dog,4,3,pets
28E,cat,5,3,pets
28E,lion,6,4,african
28E,polarbear,7,5,arctic
28E,shark,8,6,fish
28E,cow,9,7,farm
28E,pig,10,7,farm
28E,sheep,11,7,farm
28E,chicken,12,7,farm
28E,snake,13,7,farm
28E,parrot,14,8,pets
29E,dog,1,1,pets
29E,cat,2,1,pets
29E,hippopotamus,3,2,african
29E,elephant,4,2,african
29E,tiger,5,2,african
29E,lion,6,2,african
29E,cheetah,7,2,african
29E,monkey,8,2,african
29E,bird,9,3,bird
29E,rat,10,4,rodents
29E,mouse,11,4,bird
29E,gorilla,12,5,african
29E,shark,13,6,fish
29E,fish,14,6,fish
29E,crocodile,15,7,reptileamphibian
29E,frog,16,7,reptileamphibian
2E,tiger,1,1,african
2E,lion,2,1,african
2E,elephant,3,1,african
2E,dog,4,2,pets
2E,cat,5,2,pets
2E,giraffe,6,3,african
2E,woodpecker,7,4,bird
2E,squirrel,8,5,northamerican
2E,hedgehog,9,5,insectivores
2E,beetle,10,6,insects
2E,mosquito,11,6,insects
3E,tiger,1,1,african
3E,lion,2,1,african
3E,cat,3,2,pets
3E,bear,4,3,northamerican
3E,goat,5,4,farm
3E,cow,6,4,farm
3E,dog,7,5,pets
3E,hyena,8,5,african
3E,rabbit,9,6,pets
4E,dog,1,1,pets
4E,tiger,2,2,african
4E,cat,3,3,pets
4E,lion,4,4,african
4E,elephant,5,4,african
4E,monkey,6,4,african
4E,baboon,7,4,primates
4E,gorilla,8,4,african
4E,lizard,9,5,reptileamphibian
4E,fish,10,6,fish
4E,rabbit,11,7,pets
4E,guineapig,12,7,pets
5E,elephant,1,1,african
5E,tiger,2,1,african
5E,leopard,3,1,african
5E,cheetah,4,1,african
5E,giraffe,5,1,african
5E,lizard,6,2,reptileamphibian
5E,chameleon,7,2,african
5E,monkey,8,2,african
5E,kangaroo,9,3,australian
6E,dog,1,1,pets
