Participant,Response_01,Response_02,Response_03,Response_04,Response_05,Response_06,Response_07,Response_08,Response_09,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Response_16,Response_17,Response_18,Response_19,Response_20,Response_21,Response_22,Response_23,
1E,curry,sausage,mashed potato,bean,toast,apple,banana,pear,mango,ravioli,spaghetti,cookies,Penguin bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2E,apple,banana,cheese,crisps,ice lolly,fish fingers,fish  ,chips,pear,melon,watermelon,bread,crumpets,biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3E,lettuce,fruit,hotdog,sandwich,cheese,croissant,ice cream,lollipop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4E,pizza,apple,tuna,noodles,turkey,potato,zucchini,chips,chicken,sausage,pork,salad,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5E,spaghetti bolognese,pizza,banana,apple,pea,cabbage,lettuce,chicken,sausage rolls,mince pie,toast,biscuits,beef,fish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6E,banana,apple,pear,sushi,fish fingers,tuna,chicken wrap,shepherd's pie,cheese sandwich,jam sandwich,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7E,pizza,pea,bean,Penguin bar,chicken nuggets,tuna,jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8E,fish,pizza,chips,burger,salad,carrot,biscuits,breadsticks,crackers,hummous,tomato,lettuce,crisps,gherkin,cucumber,NA,NA,NA,NA,NA,NA,NA,NA,NA
9E,pizza,curry,chips,ravioli,doughnut,pea,wrap,burrito,taco,cereal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11E,biscuits,candy floss,chocolate,pork,fish,lamb,sweets,hotdog,popcorn,yoghurt,cereal bar,raisin,salad,tomato,cabbage,sprout,cucumber,NA,NA,NA,NA,NA,NA,NA
12E,spaghetti,fish and chips,pizza,bean,pancake,toastie,ham sandwich,cheese,chocolate,toffee,sausage,chicken nuggets,burger,spaghetti hoops,crisps,bacon,chicken,lamb,NA,NA,NA,NA,NA,NA
13E,carrot,potato,apple,chewits,jelly,banana,orange,chocolate,wrap,yoghurt,porridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14E,pizza,apple,pear,wrap,chocolate,chocolate cake,crisps,carrot,roast dinner,orange,banana,tangerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15E,chewits,chocolate,bread,ham,banana,orange,apple,plum,potato,wrap,lollipop,cheese,egg,crisps,bacon,pepper,tomato,NA,NA,NA,NA,NA,NA,NA
16E,chips,pizza,broccoli,fishcake,fish fingers,pea,chocolate,cheese,bean,fish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17E,lettuce,apple,chips,fish,pizza,burger,pear,banana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19E,pizza,apple,chicken,pasta,couscous,yoghurt,salad,chocolate cake,banana,orange,grape,carrot,potato,kale,beetroot,NA,NA,NA,NA,NA,NA,NA,NA,NA
20E,pizza,apple,egg,sausage,bean,tomato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21E,pizza,fish,chips,chocolate doughnut,chocolate,crisps,biscuits,ham sandwich,taco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22E,banana,apple,sweets,potato,chicken,sandwich,tomato,carrot,cucumber,pineapple,mango,chocolate,cake,ice cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24E,pizza,apple,pear,banana,yoghurt,carrot,pasta,lettuce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25E,apple,banana,orange,grape,grapefruit,passionfruit,pizza,chips,burger,pasta,nuts,crisps,sweets,cake,doughnut,cabbage,carrot,broccoli,sprout,lemon,blackcurrant,NA,NA,NA
26E,pizza,apple,banana,orange,grape,avocado,kiwi,tomato,pepper,onion,chocolate,licorice,burger,chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28E,margarita pizza,rice,chips,corn flakes,weetabix,cookies,eggplant,celery,carrot,tomato,apple,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29E,apple,banana,orange,pear,tomato,potato,pizza,bean,cheese,toast,cereal,sausage,burger,chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
