participant_id,word,order,cluster_id,category
11E,biscuits,1,1,snacks
11E,candyfloss,2,2,Unknown
11E,chocolate,3,3,snacks
11E,pork,4,4,meat
11E,fish,5,5,fast food
11E,lamb,6,6,meat
11E,sweets,7,7,sweet
11E,hotdog,8,8,Unknown
11E,popcorn,9,9,Unknown
11E,yoghurt,10,10,dairy
11E,cerealbar,11,11,Unknown
11E,raisin,12,12,Unknown
11E,salad,13,13,vegetables
11E,tomato,14,13,vegetables
11E,cabbage,15,13,vegetables
11E,sprout,16,14,Unknown
11E,cucumber,17,15,vegetables
12E,spaghetti,1,1,italian
12E,fishandchips,2,2,Unknown
12E,pizza,3,3,italian
12E,bean,4,4,Unknown
12E,pancake,5,5,Unknown
12E,toastie,6,6,Unknown
12E,hamsandwich,7,7,Unknown
12E,cheese,8,8,dairy
12E,chocolate,9,9,snacks
12E,toffee,10,10,Unknown
12E,sausage,11,11,Unknown
12E,chickennuggets,12,12,Unknown
12E,burger,13,13,Unknown
12E,spaghettihoops,14,14,Unknown
12E,crisps,15,15,savoury snacks
12E,bacon,16,16,meat
12E,chicken,17,16,meat
12E,lamb,18,16,meat
13E,carrot,1,1,Unknown
13E,potato,2,2,Unknown
13E,apple,3,3,fruit
13E,chewits,4,4,Unknown
13E,jelly,5,5,Unknown
13E,banana,6,6,fruit
13E,orange,7,6,fruit
13E,chocolate,8,7,snacks
13E,wrap,9,8,Unknown
13E,yoghurt,10,9,dairy
13E,porridge,11,9,breakfast
14E,pizza,1,1,italian
14E,apple,2,2,fruit
14E,pear,3,2,fruit
14E,wrap,4,3,Unknown
14E,chocolate,5,4,snacks
14E,chocolatecake,6,5,Unknown
14E,crisps,7,6,savoury snacks
14E,carrot,8,7,Unknown
14E,roastdinner,9,8,Unknown
14E,orange,10,9,fruit
14E,banana,11,9,fruit
14E,tangerine,12,10,Unknown
15E,chewits,1,1,Unknown
15E,chocolate,2,2,snacks
15E,bread,3,3,Unknown
15E,ham,4,4,meat
15E,banana,5,5,fruit
15E,orange,6,5,fruit
15E,apple,7,5,fruit
15E,plum,8,5,fruit
15E,potato,9,6,Unknown
15E,wrap,10,7,Unknown
15E,lollipop,11,8,Unknown
15E,cheese,12,9,dairy
15E,egg,13,10,Unknown
15E,crisps,14,11,savoury snacks
15E,bacon,15,12,meat
15E,pepper,16,13,condiments/seasoning
15E,tomato,17,14,vegetables
16E,chips,1,1,fast food
16E,pizza,2,1,italian
16E,broccoli,3,2,vegetables
16E,fishcake,4,3,Unknown
16E,fishfingers,5,4,Unknown
16E,pea,6,5,Unknown
16E,chocolate,7,6,snacks
16E,cheese,8,7,dairy
16E,bean,9,8,Unknown
16E,fish,10,9,fast food
17E,lettuce,1,1,vegetables
17E,apple,2,2,fruit
17E,chips,3,3,fast food
17E,fish,4,3,fast food
17E,pizza,5,3,italian
17E,burger,6,4,Unknown
17E,pear,7,5,fruit
17E,banana,8,5,fruit
19E,pizza,1,1,italian
19E,apple,2,2,fruit
19E,chicken,3,3,meat
19E,pasta,4,4,italian
19E,couscous,5,5,Unknown
19E,yoghurt,6,6,dairy
19E,salad,7,7,vegetables
19E,chocolatecake,8,8,Unknown
19E,banana,9,9,fruit
19E,orange,10,9,fruit
19E,grape,11,10,Unknown
19E,carrot,12,11,Unknown
19E,potato,13,12,Unknown
19E,kale,14,13,Unknown
19E,beetroot,15,14,Unknown
1E,curry,1,1,asian
1E,sausage,2,2,Unknown
1E,mashedpotato,3,3,Unknown
1E,bean,4,4,Unknown
1E,toast,5,5,breakfast
1E,apple,6,6,fruit
1E,banana,7,6,fruit
1E,pear,8,6,fruit
1E,mango,9,6,fruit
1E,ravioli,10,7,italian
1E,spaghetti,11,7,italian
