Participants,Response_01,Response_02,Response_03,Response_04,Response_05,Response_06,Response_07,Response_08,Response_09,Response_10,Response_11,Response_12,Response_13,Response_14,Response_15,Response_16,Response_17,Response_18
1E,builder,scaffolder,police officer,ambulance driver,teacher,babysitter,,,,,,,,,,,,
2E,motorbike mechanic,scientist,zookeeper,cameraman,director,footballer,goalie,manager,headteacher,,,,,,,,,
3E,midwife,police officer,ambulance driver,fire fighter,teacher,teaching assistant,nurse,babysitter,mechanic,,,,,,,,,
4E,babysitter,mechanic,teacher,veterinarian,fire fighter,police officer,ambulance driver,nurse,doctor,builder,,,,,,,,
5E,cleaner,footballer,babysitter,mechanic,builder,rugby player,farmer,designer,,,,,,,,,,
6E,mechanic,doctor,babysitter,,,,,,,,,,,,,,,
7E,mechanic,,,,,,,,,,,,,,,,,
8E,teacher,electrician,babysitter,receptionist,doctor,fire fighter,police officer,archaeologist,scientist,office worker,builder,dustbin man,,,,,,
9E,doctor,blacksmith,chemist,nurse,police officer,designer,animator,musician,artist,singer,grocer,,,,,,,
11E,police officer,ambulance driver,fire fighter,midwife,nurse,teacher,doctor,fisherman,sailor,cashier,manager,mechanic,office worker,factory worker,Mountain rescue,chef,waiter,
12E,teacher,teaching assistant,zookeeper,shop keeper,entertainer,hairdresser,barman,jewelry maker,dressmaker,shoemaker,factory worker,,,,,,,
15E,police officer,cleaner,mechanic,babysitter,,,,,,,,,,,,,,
16E,babysitter,,,,,,,,,,,,,,,,,
17E,mechanic,nurse,doctor,inventor,teacher,scientist,,,,,,,,,,,,
19E,babysitter,doctor,teacher,dinner lady,servant,,,,,,,,,,,,,
21E,artist,recpetionist,veterinarian,police officer,nurse,doctor,dentist,,,,,,,,,,,
22E,engineer,teacher,nurse,doctor,builder,designer,blacksmith,farmer,dancer,singer,archaeologist,scientist,,,,,,
24E,waiter,accountant,farmer,zookeeper,dog walker,babysitter,manager,,,,,,,,,,,
25E,teaching assistant,teacher,builder,plumber,caretaker,nurse,doctor,surgeon,cleaner,veterinarian,headteacher,hairdresser,,,,,,
26E,babysitter,mechanic,entrepreneur,designer,soldier,police officer,fire fighter,doctor,surgeon,dentist,nurse,office worker,cashier,shelf stacker,chef,waiter,,
28E,nurse,fire fighter,police officer,teacher,plumber,engineer,you-tuber,doctor,dentist,medic,,,,,,,,
29E,nurse,doctor,postman,fire fighter,police officer,,,,,,,,,,,,,
