id,total_correct,switches,n_clusters,mean_cluster_size,unknown_words
1,11,3,2,0.5,
4,9,4,2,0.5,
6,11,4,3,0.6666666666666666,
7,24,10,6,0.8333333333333334,
13,20,9,6,0.6666666666666666,
14,18,9,4,0.75,
17,20,8,5,0.8,
18,10,5,3,0.6666666666666666,
20,13,7,4,0.75,
21,18,9,5,0.8,
23,11,6,4,0.75,
25,21,10,7,0.8333333333333334,
26,16,7,5,0.8,
31,18,9,6,0.8333333333333334,
33,20,9,6,0.8333333333333334,
35,21,10,8,0.7142857142857143,
39,20,10,6,0.8333333333333334,
40,18,8,6,0.8333333333333334,
43,20,9,6,0.8333333333333334,
49,18,8,5,0.8,
51,13,6,4,0.75,
54,8,3,2,0.5,
55,8,4,3,0.6666666666666666,
56,22,10,7,0.8571428571428571,
59,7,3,2,0.5,
