category,word
Hospital/care,doctor
Hospital/care,nurse
Hospital/care,hospital worker
Hospital/care,vet
Hospital/care,midwife
Hospital/care,dentist
Hospital/care,physio
School,teacher
School,headteacher
School,teaching assistant
School,school cook
School,dinner time staff
School,janitor
School,after-school club worker
School,caretaker
Retail,shopworker
Retail,pubworker
Retail,waiter
Retail,bankworker
Salon,beautician
Salon,hairdresser
House,babysitter
House,housecleaner
House,plumber
House,boilerperson
House,electrician
Sports,footballer
Sports,goalie
Sports,manager
Sports,cyclist
Sports,Olympian
Sports,horse ider
Sports,athlete
Sports,racecardriver
Sports,basketballplayer
Sports,cheerleader
Services,policeman
Services,policeofficer
Services,ambulanceman
Services,fireman
Manual labour,builder
Manual labour,scaffolder
Manual labour,oilrigworker
Manual labour,painter
Manual labour,windowcleaner
Manual labour,farmer
Technical,mechanic
Technical,electrician
Technical,plumber
Driver,traindriver
Driver,taxidriver
Driver,boatdriver
Driver,pilot
Performance,actor
Performance,comedian
Performance,singer
Performance,model
Film/entertainment,cameraman
Film/entertainment,director
Film/entertainment,actor
Film/entertainment,comedian
Film/entertainment,singer
Film/entertainment,artist
Film/entertainment,model
Science and research,researcher
Science and research,scientist
Science and research,inventor
Managerial,manager
Managerial,boss
Managerial,businessperson
Child care,babysitter
Child care,childcareworker
Child care,nurseryteacher
Child care,teacher
Child care,playgroupworker
Creative,designer
Creative,artist
Creative,fashiondesigner
Creative,filmdesigner
Creative,gamedesigner
Food,cook
Food,waitress
Food,chef
Food,baker
Services,ambulancedriver
Creative,animator
Science and research,archaeologist
Retail,barman
Manual labour,blacksmith
Retail,cashier
Science and research,chemist
House,cleaner
Performance,dancer
School,dinnerlady
Services,dogwalker
Creative,dressmaker
Manual labour,dustbinman
Technical,engineer
Science and research,engineer
Performance,entertainer
Managerial,accountant
Managerial,entrepreneur
Manual labour,factoryworker
Services,firefighter
Manual labour,fisherman
Retail,grocer
Creative,jewelrymaker
Hospital/care,medic
Technical,motorbikemechanic
Services,mountainrescue
Performance,musician
Managerial,officeworker
Services,policeofficer
Services,postman
Retail,receptionist
Retail,recpetionist
Sports,rugbyplayer
Driver,sailor
House,servant
Retail,shelfstacker
Creative,shoemaker
Retail,shopkeeper
Services,soldier
Hospital/care,surgeon
Hospital/care,veterinarian
Film/entertainment,you-tuber
Services,zookeeper
School,balletteacher
Salon,barber
Food,butcher
Hospital/care,careworker
Child care,childminder
Sports,coach
Manual labour,constructionworker
Sports,cricketer
Creative,decorator
Driver,deliverydriver
School,deputyhead
Sports,diver
Retail,estateagent
Military,fieldcommander
Sports,football
Sports,formulaoneracer
School,gymnasticsteacher
House,housekeeper
Services,inspector
Managerial,landlord
Services,lawyer
Creative,photographer
School,physicaleducationteacher
Hospital/care,physiotherapist
Sports,runner
Creative,sculptor
Retail,shopmager
Sports,tennisplayer
Film/entertainment,tvpresenter
Services,weddingplanner
Manual labour,workman
Services,charityworker
Services,primeminister
School,swimmingteacher
